show,season,episode,title,us_viewers,air_date,imdb_rating,total_votes,description
The Office,5,3,Baby Shower,8070000,10/16/08,8,3759,"After planning an office baby shower for Jan, Michael is upset when he finds out that she had the baby without him--even though he's already been told that he's not the baby's father."
The Office,5,4,Crime Aid,7740000,10/23/08,8.1,3617,"Michael and Holly have sex for the first time, and Michael holds a fundraiser for the office after it is burglarized. Dwight confides in Phyllis after Andy and Angela set a wedding date, and Jim runs into Pam's ex-fiancé, Roy."
The Office,5,5,Employee Transfer,9320000,10/30/08,8,3718,Holly is transferred back to New Hampshire after corporate discovers that she and Michael are dating. Dwight tries to apply to Cornell to get under Andy's skin. Jim's brothers and Pam decide to play a trick on Jim when they meet for lunch.
The Office,5,6,Customer Survey,8350000,11/6/08,8.5,3879,"Dwight and Jim believe that something is suspicious about their low customer performance ratings. After consulting with Angela, Andy finds the perfect site for their wedding--Dwight's beet farm."
The Office,5,7,Business Trip,8180000,11/13/08,8.2,3619,"David Wallace sends Michael on a business trip to Winnipeg to help him forget about Holly's transfer to Nashua, and Pam tells Jim that she failed a class and has to stay in New York City."
The Office,5,8,Frame Toby,8400000,11/20/08,8.6,4038,"When Michael discovers that corporate has brought back Toby to replace Holly, he tries to frame him with drugs and to get him fired. Meanwhile, Pam has issues with the disgusting microwave. Finally, Jim surprises Pam by buying his parents' house."
The Office,5,9,The Surplus,8330000,12/4/08,8.8,4009,"Michael has to spend the office surplus by they end of the day, but he can't decide between a copier or new chairs. Dwight plays a dirty trick on Angela as they prepare for Andy and Angela's wedding on the beet farm."
The Office,5,10,Moroccan Christmas,8790000,12/11/08,8.4,3751,"Phyllis blackmails Angela into doing the work for the Christmas party, which Michael turns into an intervention after Meredith gets drunk and sets her hair on fire. Meanwhile, Dwight corners the market on a popular Christmas gift."
The Office,5,11,The Duel,8500000,1/15/09,8.7,3913,"Moments before he leaves for New York for a meeting with David Wallace, Michael tells Andy that Angela and Dwight are seeing each other. Andy and Dwight then decide to have it out in the parking lot."
The Office,5,12,Prince Family Paper,8740000,1/22/09,8,3766,"Michael's conscience gets the best of him after he and Dwight go undercover to scout a family-run competitor. Back at the office, everyone else spends the day debating whether Hilary Swank is hot."
The Office,5,13,Stress Relief,22910000,2/1/09,9.7,11895,"Dwight's too-realistic fire alarm gives Stanley a heart attack. When he returns, Michael learns that he is the cause of Stanley's stress. To remedy the situation, he forces the office to throw a roast for him."
The Office,5,14,Lecture Circuit: Part 1,8390000,2/5/09,8.2,3594,"While on lecture tour to other Dunder Mifflin branches, Michael and Pam discover that Jim's ex-girlfriend Karen is pregnant. At the office, Andy falls for a prospective client, and Jim and Dwight try to set up Kelly's birthday party."
The Office,5,15,Lecture Circuit: Part 2,8890000,2/12/09,8.1,3552,"Michael and Pam go to Nashua and discover that Holly has a new boyfriend. At the office, Jim and Dwight try to come up with a theme for Kelly's birthday party, and Angela gets a new cat."
The Office,5,16,Blood Drive,8630000,3/5/09,8,3557,"Michael holds a lonely hearts party on Valentine's Day at the office, hoping that he will run into a woman he met earlier that day at a blood drive. Meanwhile, Jim and Pam have an awkward lunch with Phillis and Bob Vance."
